Filename             = m851_018.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 711
Profile              = 18
WaterDepth           = 3385
Date                 = 2011/06/30
Time                 = 20:23
Latitude             = 47 37.13 N
Longitude            = 029 53.86 W
Columns              = p:t:pt:s:sth:o
   0.0 15.7367 15.7367 35.7180 26.3604  6.142
   1.0 15.7367 15.7366 35.7180 26.3605  6.142
   2.0 15.7367 15.7364 35.7180 26.3605  6.142
   3.0 15.7367 15.7363 35.7180 26.3605  6.142
   4.0 15.7367 15.7361 35.7180 26.3606  6.142
   5.0 15.7367 15.7360 35.7180 26.3606  6.142
   6.0 15.7369 15.7360 35.7167 26.3596  6.137
   7.0 15.7380 15.7369 35.7095 26.3538  6.123
   8.0 15.7386 15.7374 35.7014 26.3475  6.128
   9.0 15.7385 15.7371 35.6937 26.3416  6.130
  10.0 15.7384 15.7368 35.6893 26.3383  6.127
  11.0 15.7370 15.7352 35.6871 26.3370  6.130
  12.0 15.7290 15.7272 35.6862 26.3381  6.127
  13.0 15.6909 15.6889 35.6898 26.3496  6.131
  14.0 15.6351 15.6329 35.6913 26.3634  6.146
  15.0 15.5591 15.5568 35.6929 26.3819  6.162
  16.0 15.4793 15.4768 35.6891 26.3970  6.161
  17.0 15.4468 15.4442 35.6803 26.3976  6.156
  18.0 15.4356 15.4328 35.6772 26.3978  6.152
  19.0 15.4267 15.4237 35.6757 26.3987  6.141
  20.0 15.4223 15.4192 35.6744 26.3987  6.138
  21.0 15.4206 15.4174 35.6736 26.3984  6.139
  22.0 15.4196 15.4162 35.6738 26.3989  6.132
  23.0 15.4179 15.4143 35.6741 26.3996  6.121
  24.0 15.4150 15.4113 35.6744 26.4004  6.120
  25.0 15.4125 15.4087 35.6743 26.4010  6.113
  26.0 15.4109 15.4069 35.6742 26.4013  6.104
  27.0 15.4094 15.4053 35.6745 26.4019  6.109
  28.0 15.4076 15.4033 35.6748 26.4026  6.103
  29.0 15.4054 15.4010 35.6749 26.4031  6.089
  30.0 15.4044 15.3997 35.6748 26.4034  6.087
  31.0 15.4031 15.3983 35.6750 26.4038  6.087
  32.0 15.4003 15.3953 35.6753 26.4047  6.080
  33.0 15.3966 15.3915 35.6754 26.4057  6.071
  34.0 15.3898 15.3846 35.6765 26.4081  6.058
  35.0 15.3597 15.3544 35.6865 26.4225  6.058
  36.0 15.2792 15.2736 35.7026 26.4531  6.053
  37.0 15.2361 15.2305 35.7037 26.4636  6.017
  38.0 15.1570 15.1512 35.7262 26.4985  6.005
  39.0 14.9745 14.9686 35.7553 26.5615  5.989
  40.0 14.8485 14.8425 35.7593 26.5923  5.911
  41.0 14.7445 14.7384 35.7682 26.6220  5.841
  42.0 14.6720 14.6658 35.7671 26.6370  5.791
  43.0 14.6181 14.6117 35.7677 26.6493  5.774
  44.0 14.5044 14.4979 35.7728 26.6779  5.781
  45.0 14.3669 14.3603 35.7630 26.7000  5.772
  46.0 14.2647 14.2580 35.7487 26.7110  5.766
