Filename             = m851_079.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 807
Profile              = 79
WaterDepth           = 3366
Date                 = 2011/07/21
Time                 = 14:43
Latitude             = 54 50.25 N
Longitude            = 043 27.46 W
Columns              = p:t:pt:s:sth:o
   0.0  8.8316  8.8316 34.5486 26.7915  6.848
   1.0  8.8316  8.8315 34.5486 26.7915  6.848
   2.0  8.8316  8.8314 34.5486 26.7915  6.848
   3.0  8.8316  8.8313 34.5486 26.7915  6.848
   4.0  8.8316  8.8312 34.5486 26.7915  6.848
   5.0  8.8316  8.8311 34.5486 26.7916  6.848
   6.0  8.8313  8.8307 34.5481 26.7912  6.848
   7.0  8.8299  8.8292 34.5447 26.7888  6.847
   8.0  8.8286  8.8277 34.5417 26.7867  6.845
   9.0  8.8275  8.8265 34.5397 26.7853  6.838
  10.0  8.8260  8.8249 34.5377 26.7840  6.839
  11.0  8.8163  8.8151 34.5361 26.7842  6.848
  12.0  8.8000  8.7988 34.5354 26.7863  6.844
  13.0  8.7940  8.7926 34.5351 26.7870  6.843
  14.0  8.7983  8.7968 34.5342 26.7857  6.849
  15.0  8.8002  8.7986 34.5333 26.7847  6.850
  16.0  8.7970  8.7953 34.5330 26.7849  6.843
  17.0  8.7895  8.7877 34.5331 26.7862  6.838
  18.0  8.7841  8.7822 34.5329 26.7870  6.840
  19.0  8.7832  8.7812 34.5325 26.7868  6.844
  20.0  8.7815  8.7794 34.5321 26.7868  6.845
  21.0  8.7774  8.7752 34.5320 26.7873  6.846
  22.0  8.7720  8.7697 34.5323 26.7884  6.847
  23.0  8.7567  8.7543 34.5334 26.7917  6.847
  24.0  8.7218  8.7193 34.5362 26.7994  6.848
  25.0  8.6798  8.6772 34.5405 26.8094  6.848
  26.0  8.6441  8.6414 34.5443 26.8180  6.853
  27.0  8.6040  8.6012 34.5481 26.8272  6.858
  28.0  8.5415  8.5386 34.5539 26.8415  6.860
  29.0  8.4623  8.4593 34.5615 26.8597  6.853
  30.0  8.3551  8.3520 34.5722 26.8846  6.840
  31.0  8.1233  8.1202 34.5877 26.9319  6.848
  32.0  7.7771  7.7740 34.6010 26.9938  6.849
  33.0  7.2612  7.2581 34.6174 27.0806  6.837
  34.0  6.7957  6.7926 34.6323 27.1575  6.875
  35.0  6.5159  6.5128 34.6395 27.2009  6.950
  36.0  6.1326  6.1295 34.6502 27.2593  6.987
  37.0  5.6933  5.6903 34.6629 27.3250  6.978
  38.0  5.4355  5.4325 34.6678 27.3606  6.990
  39.0  5.2747  5.2716 34.6677 27.3798  7.028
  40.0  5.1194  5.1163 34.6704 27.4004  7.023
  41.0  5.0683  5.0651 34.6780 27.4124  7.019
  42.0  5.0774  5.0741 34.6840 27.4161  7.056
  43.0  5.0949  5.0915 34.6847 27.4146  7.080
  44.0  5.1035  5.1001 34.6848 27.4137  7.080
  45.0  5.1145  5.1110 34.6857 27.4131  7.076
  46.0  5.1440  5.1404 34.6914 27.4142  7.073
  47.0  5.1761  5.1725 34.6981 27.4158  7.069
  48.0  5.1712  5.1674 34.6992 27.4172  7.062
  49.0  5.1447  5.1409 34.6977 27.4191  7.053
  50.0  5.1264  5.1225 34.6966 27.4205  7.049
  51.0  5.1112  5.1073 34.6958 27.4216  7.051
  52.0  5.0912  5.0872 34.6943 27.4227  7.054
  53.0  5.0663  5.0622 34.6932 27.4248  7.057
  54.0  5.0472  5.0430 34.6928 27.4268  7.059
  55.0  5.0137  5.0095 34.6899 27.4283  7.063
  56.0  4.9593  4.9550 34.6855 27.4312  7.060
  57.0  4.9072  4.9028 34.6795 27.4324  7.055
  58.0  4.8716  4.8672 34.6756 27.4334  7.049
  59.0  4.8544  4.8499 34.6749 27.4348  7.037
  60.0  4.8747  4.8701 34.6808 27.4372  7.030
  61.0  4.9068  4.9022 34.6879 27.4391  7.038
  62.0  4.8694  4.8647 34.6836 27.4400  7.056
  63.0  4.7918  4.7871 34.6765 27.4432  7.047
  64.0  4.7003  4.6956 34.6698 27.4482  7.019
  65.0  4.6292  4.6244 34.6669 27.4539  7.013
  66.0  4.6055  4.6006 34.6679 27.4573  7.026
  67.0  4.5960  4.5911 34.6681 27.4585  7.031
  68.0  4.5942  4.5892 34.6687 27.4592  7.029
  69.0  4.5953  4.5902 34.6694 27.4597  7.025
  70.0  4.5863  4.5812 34.6693 27.4606  7.016
  71.0  4.5745  4.5693 34.6697 27.4622  7.008
  72.0  4.5670  4.5617 34.6709 27.4641  7.006
  73.0  4.5730  4.5677 34.6739 27.4658  7.001
  74.0  4.5855  4.5800 34.6768 27.4667  6.987
  75.0  4.6003  4.5948 34.6803 27.4679  6.973
  76.0  4.6195  4.6139 34.6847 27.4692  6.971
  77.0  4.6279  4.6222 34.6878 27.4707  6.966
  78.0  4.6271  4.6213 34.6896 27.4723  6.956
  79.0  4.6167  4.6108 34.6891 27.4730  6.952
  80.0  4.5954  4.5895 34.6871 27.4738  6.948
  81.0  4.5887  4.5828 34.6872 27.4747  6.933
  82.0  4.5947  4.5886 34.6904 27.4765  6.923
  83.0  4.5917  4.5856 34.6919 27.4781  6.931
  84.0  4.5652  4.5590 34.6908 27.4801  6.943
  85.0  4.5362  4.5299 34.6897 27.4825  6.934
